"Fiscal Year","Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Communication with Nurses Floor","Communication with Nurses Achievement Threshold","Communication with Nurses Benchmark","Communication with Nurses Baseline Rate","Communication with Nurses Performance Rate","Communication with Nurses Achievement Points","Communication with Nurses Improvement Points","Communication with Nurses Dimension Score","Communication with Doctors Floor","Communication with Doctors Achievement Threshold","Communication with Doctors Benchmark","Communication with Doctors Baseline Rate","Communication with Doctors Performance Rate","Communication with Doctors Achievement Points","Communication with Doctors Improvement Points","Communication with Doctors Dimension Score","Responsiveness of Hospital Staff Floor","Responsiveness of Hospital Staff Achievement Threshold","Responsiveness of Hospital Staff Benchmark","Responsiveness of Hospital Staff Baseline Rate","Responsiveness of Hospital Staff Performance Rate","Responsiveness of Hospital Staff Achievement Points","Responsiveness of Hospital Staff Improvement Points","Responsiveness of Hospital Staff Dimension Score","Care Transition Floor","Care Transition Achievement Threshold","Care Transition Benchmark","Care Transition Baseline Rate","Care Transition Performance Rate","Care Transition Achievement Points","Care Transition Improvement Points","Care Transition Dimension Score","Communication About Medicines Floor","Communication About Medicines Achievement Threshold","Communication About Medicines Benchmark","Communication About Medicines Baseline Rate","Communication About Medicines Performance Rate","Communication About Medicines Achievement Points","Communication About Medicines Improvement Points","Communication About Medicines Dimension Score","Cleanliness and Quietness of Hospital Environment Floor","Cleanliness and Quietness of Hospital Environment Achievement Threshold","Cleanliness and Quietness of Hospital Environment Benchmark","Cleanliness and Quietness of Hospital Environment Baseline Rate","Cleanliness and Quietness of Hospital Environment Performance Rate","Cleanliness and Quietness of Hospital Environment Achievement Points","Cleanliness and Quietness of Hospital Environment Improvement Points","Cleanliness and Quietness of Hospital Environment Dimension Score","Discharge Information Floor","Discharge Information Achievement Threshold","Discharge Information Benchmark","Discharge Information Baseline Rate","Discharge Information Performance Rate","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating of Hospital Floor","Overall Rating of Hospital Achievement Threshold","Overall Rating of Hospital Benchmark","Overall Rating of Hospital Baseline Rate","Overall Rating of Hospital Performance Rate","Overall Rating of Hospital Achievement Points","Overall Rating of Hospital Improvement Points","Overall Rating of Hospital Dimension Score","HCAHPS Base Score","HCAHPS Consistency Score"
"2021","010001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",Houston,"42.06","79.06","87.36","73.25","77.4970","0 out of 10","3 out of 9","3 out of 10","41.99","79.91","88.10","79.41","80.2870","1 out of 10","1 out of 9","1 out of 10","33.89","65.77","81.00","52.86","66.3995","1 out of 10","4 out of 9","4 out of 10","6.53","51.87","63.32","47.89","52.7028","1 out of 10","3 out of 9","3 out of 10","33.19","63.83","74.75","57.37","65.2040","2 out of 10","4 out of 9","4 out of 10","30.60","65.61","79.58","65.22","68.9053","3 out of 10","2 out of 9","3 out of 10","66.94","87.38","92.17","85.27","89.5345","5 out of 10","6 out of 9","6 out of 10","34.70","71.80","85.67","67.51","71.7907","0 out of 10","2 out of 9","2 out of 10","26","19"
"2021","010005",MARSHALL MEDICAL CENTERS SOUTH CAMPUS,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",Marshall,"42.06","79.06","87.36","79.83","78.3784","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","85.08","84.9462","6 out of 10","0 out of 9","6 out of 10","33.89","65.77","81.00","66.38","64.4797","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","50.53","47.8345","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","69.72","68.3581","4 out of 10","0 out of 9","4 out of 10","30.60","65.61","79.58","68.76","68.1608","2 out of 10","0 out of 9","2 out of 10","66.94","87.38","92.17","88.59","89.9946","5 out of 10","3 out of 9","5 out of 10","34.70","71.80","85.67","73.94","71.4242","0 out of 10","0 out of 9","0 out of 10","17","18"
"2021","010006",NORTH ALABAMA MEDICAL CENTER,"1701 VETERANS DRIVE",FLORENCE,AL,"35630",Lauderdale,"42.06","79.06","87.36","76.59","77.8473","0 out of 10","1 out of 9","1 out of 10","41.99","79.91","88.10","79.81","81.9974","3 out of 10","2 out of 9","3 out of 10","33.89","65.77","81.00","59.38","55.6355","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","48.48","48.0903","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","66.13","61.9797","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","58.24","69.8706","3 out of 10","5 out of 9","5 out of 10","66.94","87.38","92.17","84.95","84.3396","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","60.26","68.9042","0 out of 10","3 out of 9","3 out of 10","12","13"
"2021","010007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",Covington,"42.06","79.06","87.36","75.79","79.7967","1 out of 10","3 out of 9","3 out of 10","41.99","79.91","88.10","85.03","85.5056","7 out of 10","1 out of 9","7 out of 10","33.89","65.77","81.00","66.95","70.8823","4 out of 10","2 out of 9","4 out of 10","6.53","51.87","63.32","44.69","56.0547","4 out of 10","6 out of 9","6 out of 10","33.19","63.83","74.75","62.61","68.6053","4 out of 10","4 out of 9","4 out of 10","30.60","65.61","79.58","70.50","72.9804","5 out of 10","2 out of 9","5 out of 10","66.94","87.38","92.17","87.01","89.9142","5 out of 10","5 out of 9","5 out of 10","34.70","71.80","85.67","70.76","69.5990","0 out of 10","0 out of 9","0 out of 10","34","18"
"2021","010011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",Jefferson,"42.06","79.06","87.36","77.46","77.8259","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","81.76","80.9933","2 out of 10","0 out of 9","2 out of 10","33.89","65.77","81.00","67.20","69.4084","3 out of 10","1 out of 9","3 out of 10","6.53","51.87","63.32","52.52","52.4184","1 out of 10","0 out of 9","1 out of 10","33.19","63.83","74.75","65.60","63.7826","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","64.47","65.2350","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","86.08","87.7512","1 out of 10","2 out of 9","2 out of 10","34.70","71.80","85.67","71.78","72.0020","1 out of 10","0 out of 9","1 out of 10","9","19"
"2021","010012",DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE",FORT PAYNE,AL,"35968",DeKalb,"42.06","79.06","87.36","75.93","73.1558","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","79.75","79.7372","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","65.68","61.4633","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","43.63","40.9295","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","61.92","58.3356","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","66.49","68.0129","2 out of 10","1 out of 9","2 out of 10","66.94","87.38","92.17","86.54","84.6436","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","68.53","58.2981","0 out of 10","0 out of 9","0 out of 10","2","12"
"2021","010016",SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET NORTH",ALABASTER,AL,"35007",Shelby,"42.06","79.06","87.36","75.01","75.9814","0 out of 10","0 out of 9","0 out of 10","41.99","79.91","88.10","80.22","78.9939","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","58.36","64.8668","0 out of 10","2 out of 9","2 out of 10","6.53","51.87","63.32","49.27","48.6330","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","61.05","63.7075","0 out of 10","1 out of 9","1 out of 10","30.60","65.61","79.58","65.71","63.5913","0 out of 10","0 out of 9","0 out of 10","66.94","87.38","92.17","87.61","85.7607","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","68.78","70.4511","0 out of 10","0 out of 9","0 out of 10","3","18"
"2021","010019",HELEN KELLER MEMORIAL HOSPITAL,"1300 SOUTH MONTGOMERY AVENUE",SHEFFIELD,AL,"35660",Colbert,"42.06","79.06","87.36","82.03","82.3635","4 out of 10","0 out of 9","4 out of 10","41.99","79.91","88.10","84.36","85.8914","7 out of 10","4 out of 9","7 out of 10","33.89","65.77","81.00","66.14","65.0214","0 out of 10","0 out of 9","0 out of 10","6.53","51.87","63.32","51.09","51.1648","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","67.32","68.8404","5 out of 10","2 out of 9","5 out of 10","30.60","65.61","79.58","69.19","70.0698","3 out of 10","0 out of 9","3 out of 10","66.94","87.38","92.17","86.93","86.4840","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","72.11","76.8594","4 out of 10","3 out of 9","4 out of 10","23","19"
"2021","010021",DALE MEDICAL CENTER,"126 HOSPITAL AVE",OZARK,AL,"36360",Dale,"42.06","79.06","87.36","85.14","83.1631","5 out of 10","0 out of 9","5 out of 10","41.99","79.91","88.10","86.09","83.9114","5 out of 10","0 out of 9","5 out of 10","33.89","65.77","81.00","78.33","79.4504","9 out of 10","4 out of 9","9 out of 10","6.53","51.87","63.32","47.79","55.9289","4 out of 10","5 out of 9","5 out of 10","33.19","63.83","74.75","71.87","66.6183","3 out of 10","0 out of 9","3 out of 10","30.60","65.61","79.58","80.58","74.5179","6 out of 10","0 out of 9","6 out of 10","66.94","87.38","92.17","87.04","84.8174","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","74.45","77.3397","4 out of 10","2 out of 9","4 out of 10","37","17"
"2021","010023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",Montgomery,"42.06","79.06","87.36","77.07","80.2171","2 out of 10","3 out of 9","3 out of 10","41.99","79.91","88.10","79.15","78.5878","0 out of 10","0 out of 9","0 out of 10","33.89","65.77","81.00","64.03","66.8200","1 out of 10","1 out of 9","1 out of 10","6.53","51.87","63.32","48.55","48.7613","0 out of 10","0 out of 9","0 out of 10","33.19","63.83","74.75","66.87","62.2516","0 out of 10","0 out of 9","0 out of 10","30.60","65.61","79.58","68.88","69.8618","3 out of 10","0 out of 9","3 out of 10","66.94","87.38","92.17","85.04","85.1787","0 out of 10","0 out of 9","0 out of 10","34.70","71.80","85.67","72.03","73.3512","2 out of 10","0 out of 9","2 out of 10","9","17"
