"Fiscal Year","Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","HAI-1 Achievement Threshold","HAI-1 Benchmark","HAI-1 Baseline Rate","HAI-1 Performance Rate","HAI-1 Achievement Points","HAI-1 Improvement Points","HAI-1 Measure Score","HAI-2 Achievement Threshold","HAI-2 Benchmark","HAI-2 Baseline Rate","HAI-2 Performance Rate","HAI-2 Achievement Points","HAI-2 Improvement Points","HAI-2 Measure Score","Combined SSI Measure Score","HAI-3 Achievement Threshold","HAI-3 Benchmark","HAI-3 Baseline Rate","HAI-3 Performance Rate","HAI-3 Achievement Points","HAI-3 Improvement Points","HAI-3 Measure Score","HAI-4 Achievement Threshold","HAI-4 Benchmark","HAI-4 Baseline Rate","HAI-4 Performance Rate","HAI-4 Achievement Points","HAI-4 Improvement Points","HAI-4 Measure Score","HAI-5 Achievement Threshold","HAI-5 Benchmark","HAI-5 Baseline Rate","HAI-5 Performance Rate","HAI-5 Achievement Points","HAI-5 Improvement Points","HAI-5 Measure Score","HAI-6 Achievement Threshold","HAI-6 Benchmark","HAI-6 Baseline Rate","HAI-6 Performance Rate","HAI-6 Achievement Points","HAI-6 Improvement Points","HAI-6 Measure Score"
"2021","010001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",Houston,"0.687","0.000","1.258","0.742","0 out of 10","4 out of 9","4 out of 10","0.774","0.000","1.010","0.324","6 out of 10","6 out of 9","6 out of 10","4 out of 10","0.754","0.000","0.386","0.650","2 out of 10","0 out of 9","2 out of 10","0.726","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.763","0.000","0.848","0.548","3 out of 10","3 out of 9","3 out of 10","0.748","0.067","0.649","0.537","3 out of 10","1 out of 9","3 out of 10"
"2021","010005",MARSHALL MEDICAL CENTERS SOUTH CAMPUS,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",Marshall,"0.687","0.000","0.688","0.000","10 out of 10","9 out of 9","10 out of 10","0.774","0.000","0.526","1.073","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0.754","0.000","1.708","0.508","3 out of 10","7 out of 9","7 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","2.041","1.938","0 out of 10","0 out of 9","0 out of 10","0.748","0.067","0.777","0.565","3 out of 10","2 out of 9","3 out of 10"
"2021","010006",NORTH ALABAMA MEDICAL CENTER,"1701 VETERANS DRIVE",FLORENCE,AL,"35630",Lauderdale,"0.687","0.000","0.772","0.000","10 out of 10","9 out of 9","10 out of 10","0.774","0.000","1.274","0.222","7 out of 10","8 out of 9","8 out of 10","0 out of 10","0.754","0.000","0.443","0.820","0 out of 10","0 out of 9","0 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","1.412","0.654","2 out of 10","5 out of 9","5 out of 10","0.748","0.067","0.451","0.426","5 out of 10","0 out of 9","5 out of 10"
"2021","010007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",Covington,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"2021","010011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",Jefferson,"0.687","0.000","0.962","0.421","4 out of 10","5 out of 9","5 out of 10","0.774","0.000","1.196","0.598","3 out of 10","5 out of 9","5 out of 10","0 out of 10","0.754","0.000","0.000","0.930","0 out of 10","0 out of 9","0 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","0.543","0.964","0 out of 10","0 out of 9","0 out of 10","0.748","0.067","0.452","0.343","6 out of 10","2 out of 9","6 out of 10"
"2021","010012",DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE",FORT PAYNE,AL,"35968",DeKalb,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10",Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.128","0.194","8 out of 10","0 out of 9","8 out of 10"
"2021","010016",SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET NORTH",ALABASTER,AL,"35007",Shelby,"0.687","0.000","0.665","0.182","7 out of 10","7 out of 9","7 out of 10","0.774","0.000","0.436","0.357","5 out of 10","1 out of 9","5 out of 10","10 out of 10","0.754","0.000","0.205","0.000","10 out of 10","9 out of 9","10 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","0.308","0.337","6 out of 10","0 out of 9","6 out of 10","0.748","0.067","0.918","0.485","4 out of 10","5 out of 9","5 out of 10"
"2021","010019",HELEN KELLER MEMORIAL HOSPITAL,"1300 SOUTH MONTGOMERY AVENUE",SHEFFIELD,AL,"35660",Colbert,"0.687","0.000","1.883","2.597","0 out of 10","0 out of 9","0 out of 10","0.774","0.000","0.258","0.288","6 out of 10","0 out of 9","6 out of 10","10 out of 10","0.754","0.000","1.335","0.000","10 out of 10","9 out of 9","10 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","1.541","1.280","0 out of 10","1 out of 9","1 out of 10","0.748","0.067","0.524","0.612","2 out of 10","0 out of 9","2 out of 10"
"2021","010021",DALE MEDICAL CENTER,"126 HOSPITAL AVE",OZARK,AL,"36360",Dale,"0.687","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.774","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"0.754","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.748","0.067","0.000","0.447","4 out of 10","0 out of 9","4 out of 10"
"2021","010023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",Montgomery,"0.687","0.000","0.589","0.817","0 out of 10","0 out of 9","0 out of 10","0.774","0.000","1.016","1.115","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.754","0.000","0.853","1.029","0 out of 10","0 out of 9","0 out of 10","0.726","0.000",Not Available,Not Available,Not Available,Not Available,Not Available,"0.763","0.000","0.886","1.463","0 out of 10","0 out of 9","0 out of 10","0.748","0.067","0.937","0.824","0 out of 10","1 out of 9","1 out of 10"
